Date,Open,High,Low,Close,Volume,Adj Close
2017-04-26,70.760002,71.580002,70.669998,71.099998,90100,71.099998
2017-04-25,70.989998,71.389999,70.779999,71.160004,77800,71.160004
2017-04-24,71.269997,71.269997,70.489998,70.720001,159200,70.720001
2017-04-21,70.440002,70.860001,70.440002,70.589996,92300,70.589996
2017-04-20,71.239998,71.43,70.980003,71.120003,93500,71.120003
2017-04-19,71.669998,71.68,70.290001,70.449997,127800,70.449997
2017-04-18,72.099998,72.489998,71.669998,71.809998,95700,71.809998
2017-04-17,72.440002,72.940002,72.440002,72.919998,62700,72.919998
2017-04-13,73.00,73.400002,72.400002,72.419998,75700,72.419998
2017-04-12,72.559998,72.849998,72.339996,72.690002,85300,72.690002
2017-04-11,73.379997,73.379997,72.540001,72.900002,114500,72.900002
2017-04-10,73.690002,73.93,73.540001,73.739998,206100,73.739998
2017-04-07,73.489998,74.419998,73.489998,73.900002,169500,73.900002
2017-04-06,73.059998,73.139999,72.790001,73.029999,81500,73.029999
2017-04-05,73.730003,73.919998,72.860001,73.019997,111300,73.019997
2017-04-04,72.949997,74.099998,72.949997,73.870003,78300,73.870003
2017-04-03,73.349998,73.349998,72.650002,73.290001,67800,73.290001
2017-03-31,73.360001,73.559998,73.019997,73.25,94500,73.25
2017-03-30,74.419998,74.589996,73.50,73.660004,119000,73.660004
2017-03-29,74.18,74.709999,73.830002,74.660004,68400,74.660004
2017-03-28,74.139999,74.989998,74.139999,74.75,65000,74.75
2017-03-27,73.669998,74.470001,73.669998,74.339996,39900,74.339996
2017-03-24,74.550003,74.669998,74.260002,74.519997,46000,74.519997
2017-03-23,74.129997,74.889999,73.800003,74.629997,177000,74.629997
2017-03-22,74.129997,74.839996,74.110001,74.580002,99600,74.580002
2017-03-21,75.889999,76.220001,74.410004,74.589996,96600,74.589996
2017-03-20,75.120003,75.980003,75.120003,75.68,72600,75.68
2017-03-17,75.050003,75.18,74.760002,74.830002,77300,74.830002
2017-03-16,74.669998,75.019997,74.470001,74.580002,115200,74.580002
2017-03-15,72.379997,73.940002,72.379997,73.599998,243100,73.599998
2017-03-14,72.889999,72.889999,72.169998,72.339996,78100,72.339996
2017-03-13,73.43,73.720001,73.059998,73.470001,67700,73.470001
2017-03-10,73.800003,73.800003,72.849998,73.029999,68800,73.029999
2017-03-09,73.860001,74.089996,73.110001,73.690002,120100,73.690002
2017-03-08,75.660004,75.660004,74.080002,74.099998,107400,74.099998
2017-03-07,75.949997,76.220001,75.639999,75.809998,75900,75.809998
2017-03-06,75.900002,76.040001,75.510002,75.910004,40800,75.910004
2017-03-03,75.330002,75.769997,75.269997,75.370003,107000,75.370003
2017-03-02,75.260002,75.459999,74.879997,74.889999,70800,74.889999
2017-03-01,76.040001,76.379997,75.709999,76.07,157700,76.07
2017-02-28,76.209999,76.25,75.760002,75.959999,69200,75.959999
2017-02-27,77.480003,77.480003,76.879997,77.050003,111000,77.050003
2017-02-24,78.489998,78.489998,77.879997,77.989998,70600,77.989998
2017-02-23,79.160004,79.43,78.330002,78.57,94800,78.57
2017-02-22,79.00,79.279999,78.580002,78.860001,97300,78.860001
2017-02-21,79.230003,79.769997,79.040001,79.540001,77500,79.540001
2017-02-17,76.900002,77.449997,76.900002,77.330002,77400,77.330002
2017-02-16,77.860001,78.300003,77.279999,77.330002,76600,77.330002
2017-02-15,78.989998,78.989998,78.330002,78.690002,88300,78.690002
2017-02-14,79.32,79.379997,78.599998,79.190002,57500,79.190002
2017-02-13,79.510002,79.849998,79.139999,79.32,59300,79.32
2017-02-10,78.949997,79.610001,78.639999,79.589996,82800,79.589996
2017-02-09,77.800003,77.800003,77.040001,77.389999,129400,77.389999
2017-02-08,77.50,77.919998,76.830002,77.800003,107400,77.800003
2017-02-07,77.82,78.089996,77.129997,77.32,69700,77.32
2017-02-06,78.260002,78.279999,77.550003,77.57,44200,77.57
2017-02-03,78.519997,78.800003,77.910004,78.120003,61900,78.120003
2017-02-02,78.699997,78.769997,78.25,78.510002,59900,78.510002
2017-02-01,79.57,79.839996,77.93,78.68,110100,78.68
2017-01-31,79.269997,79.559998,79.00,79.489998,60700,79.489998
2017-01-30,79.019997,79.470001,78.599998,79.169998,64700,79.169998
2017-01-27,80.050003,80.360001,79.230003,79.529999,71800,79.529999
2017-01-26,80.989998,81.800003,80.75,81.360001,91000,81.360001
2017-01-25,79.620003,81.330002,79.50,81.239998,125800,81.239998
2017-01-24,79.239998,79.860001,79.199997,79.32,171200,79.32
2017-01-23,78.769997,78.839996,78.059998,78.730003,77400,78.730003
2017-01-20,80.07,80.07,78.940002,79.089996,99500,79.089996
2017-01-19,80.339996,80.529999,79.440002,79.93,64500,79.93
2017-01-18,81.029999,81.25,80.480003,80.599998,81800,80.599998
2017-01-17,80.879997,81.389999,80.470001,80.910004,83200,80.910004
2017-01-13,80.309998,81.129997,80.209999,80.769997,87300,80.769997
2017-01-12,79.809998,79.93,79.169998,79.75,96200,79.75
2017-01-11,79.720001,80.370003,79.059998,80.110001,68400,80.110001
2017-01-10,79.220001,80.160004,79.040001,79.760002,169900,79.760002
2017-01-09,78.779999,79.419998,78.68,78.68,147200,78.68
2017-01-06,77.849998,78.00,77.589996,77.82,55600,77.82
2017-01-05,76.760002,78.00,76.760002,77.760002,182800,77.760002
2017-01-04,74.279999,75.050003,74.019997,74.779999,116800,74.779999
2017-01-03,75.129997,75.620003,74.25,74.75,107000,74.75
2016-12-30,74.150002,74.150002,73.550003,73.699997,53200,73.699997
2016-12-29,74.75,74.82,74.110001,74.190002,94200,74.190002
2016-12-28,75.379997,75.379997,74.669998,74.760002,64800,74.760002
2016-12-27,74.720001,75.080002,74.699997,74.970001,55900,74.970001
2016-12-23,74.699997,74.879997,74.400002,74.57,42100,74.57
2016-12-22,75.059998,75.169998,74.480003,75.050003,81900,75.050003
2016-12-21,76.419998,76.589996,75.93,76.080002,60700,76.080002
2016-12-20,76.160004,76.32,75.589996,75.989998,72600,75.989998
2016-12-19,76.400002,76.839996,75.949997,76.080002,109200,76.080002
2016-12-16,75.75,76.269997,75.559998,76.150002,192300,76.150002
2016-12-15,75.239998,76.410004,75.160004,76.099998,189500,76.099998
2016-12-14,76.769997,78.089996,75.25,75.379997,259100,75.379997
2016-12-13,73.980003,76.510002,73.440002,76.050003,567500,76.050003
2016-12-12,70.489998,71.07,69.970001,70.099998,154500,70.099998
2016-12-09,70.550003,71.169998,70.050003,70.650002,138300,70.650002
